#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	9.09422E-06	7.40000E+01	9.07406E+04	2.01570E+01	-4.45894E+04	1.64695E+01	7.13869E+01	-2.78802E-09
0.00000E+00	9.75785E-06	7.50000E+01	9.24098E+04	2.14532E+01	-4.57783E+04	2.64759E+01	6.95330E+01	-2.90264E-09
0.00000E+00	9.89059E-06	7.60000E+01	9.17237E+04	1.81578E+01	-4.51352E+04	2.64359E+01	7.05237E+01	-2.80891E-09
0.00000E+00	1.06786E-05	7.70000E+01	9.51292E+04	3.59335E+01	-4.74294E+04	2.30573E+01	6.71124E+01	-2.92515E-09
0.00000E+00	1.00814E-05	7.80000E+01	9.60423E+04	2.90581E+01	-4.83465E+04	2.55081E+01	6.58392E+01	-2.87888E-09
0.00000E+00	9.99841E-06	7.90000E+01	9.54187E+04	2.08851E+01	-4.78061E+04	3.12378E+01	6.65835E+01	-2.29538E-09
0.00000E+00	1.00316E-05	8.00000E+01	9.54307E+04	1.83115E+01	-4.78010E+04	2.65219E+01	6.65906E+01	-2.62864E-09
0.00000E+00	1.04298E-05	8.10000E+01	9.40398E+04	2.75331E+01	-4.67366E+04	2.81403E+01	6.81072E+01	-2.54249E-09
0.00000E+00	1.03053E-05	8.20000E+01	9.09934E+04	1.89041E+01	-4.45581E+04	2.20156E+01	7.14371E+01	-2.36739E-09
0.00000E+00	1.06040E-05	8.30000E+01	8.94562E+04	6.03490E+00	-4.36329E+04	1.87441E+01	7.29518E+01	-2.28003E-09
0.00000E+00	1.12261E-05	8.40000E+01	8.88548E+04	1.51023E+01	-4.29007E+04	1.86062E+01	7.41968E+01	-2.79013E-09
0.00000E+00	1.09109E-05	8.50000E+01	8.92656E+04	2.50731E+01	-4.34256E+04	1.89818E+01	7.33001E+01	-2.56932E-09
0.00000E+00	1.13257E-05	8.60000E+01	8.98502E+04	2.04142E+01	-4.37028E+04	1.51538E+01	7.28352E+01	-2.59115E-09
0.00000E+00	1.11930E-05	8.70000E+01	9.05227E+04	2.73782E+01	-4.39884E+04	1.46744E+01	7.23622E+01	-2.95426E-09
0.00000E+00	1.00316E-05	8.80000E+01	9.35065E+04	3.43076E+01	-4.61281E+04	2.24543E+01	6.90057E+01	-2.95385E-09
0.00000E+00	1.01394E-05	8.90000E+01	9.40940E+04	1.38222E+01	-4.64798E+04	2.99887E+01	6.84835E+01	-2.45068E-09
0.00000E+00	9.21039E-06	9.00000E+01	9.23112E+04	1.73798E+01	-4.52920E+04	3.02164E+01	7.02795E+01	-2.46021E-09
0.00000E+00	1.01229E-05	9.10000E+01	9.15280E+04	1.54682E+01	-4.43574E+04	2.54436E+01	7.17602E+01	-2.25991E-09
0.00000E+00	9.74126E-06	9.20000E+01	9.38536E+04	2.67653E+01	-4.65827E+04	2.56224E+01	6.83322E+01	-2.08173E-09
0.00000E+00	1.04961E-05	9.30000E+01	9.00989E+04	2.54642E+01	-4.37532E+04	1.44907E+01	7.27512E+01	-2.65009E-09
0.00000E+00	1.08694E-05	9.40000E+01	9.16750E+04	2.04301E+01	-4.49043E+04	2.49245E+01	7.08863E+01	-2.66290E-09
0.00000E+00	9.92377E-06	9.50000E+01	8.92662E+04	1.70607E+01	-4.31578E+04	1.32728E+01	7.37550E+01	-2.69749E-09
0.00000E+00	1.02473E-05	9.60000E+01	9.03853E+04	2.33610E+01	-4.41003E+04	2.00251E+01	7.21787E+01	-2.59463E-09
0.00000E+00	1.01643E-05	9.70000E+01	8.97414E+04	1.74179E+01	-4.36200E+04	1.06667E+01	7.29733E+01	-2.50561E-09
0.00000E+00	1.07865E-05	9.80000E+01	9.01030E+04	1.47434E+01	-4.37309E+04	2.92041E+01	7.27883E+01	-2.42414E-09
0.00000E+00	9.79933E-06	9.90000E+01	9.03280E+04	2.85729E+01	-4.37156E+04	1.52551E+01	7.28138E+01	-2.33518E-09
0.00000E+00	1.06786E-05	1.00000E+02	9.28703E+04	2.05913E+01	-4.58320E+04	6.58987E+00	6.94514E+01	-2.38891E-09
0.00000E+00	1.02888E-05	1.01000E+02	9.32370E+04	2.73550E+01	-4.57655E+04	1.26629E+01	6.95523E+01	-2.23877E-09
0.00000E+00	9.81594E-06	1.02000E+02	9.32985E+04	3.02783E+01	-4.57010E+04	1.91868E+01	6.96505E+01	-2.30270E-09
0.00000E+00	1.02473E-05	1.03000E+02	9.41632E+04	2.14934E+01	-4.67779E+04	1.78286E+01	6.80470E+01	-2.37222E-09
0.00000E+00	9.56706E-06	1.04000E+02	9.19640E+04	1.41204E+01	-4.48469E+04	2.89661E+01	7.09771E+01	-2.52087E-09
0.00000E+00	9.11083E-06	1.05000E+02	8.94828E+04	1.90657E+01	-4.30485E+04	2.70781E+01	7.39422E+01	-2.40218E-09
0.00000E+00	9.55880E-06	1.06000E+02	8.87684E+04	2.12492E+01	-4.28646E+04	1.80032E+01	7.42595E+01	-2.40330E-09
0.00000E+00	9.67492E-06	1.07000E+02	9.03769E+04	2.53897E+01	-4.42219E+04	1.26889E+01	7.19801E+01	-2.29994E-09
0.00000E+00	9.74960E-06	1.08000E+02	8.98627E+04	2.56756E+01	-4.35201E+04	2.16406E+01	7.31408E+01	-2.09117E-09
0.00000E+00	9.71640E-06	1.09000E+02	8.82570E+04	2.15375E+01	-4.22006E+04	2.13710E+01	7.54279E+01	-2.06924E-09
0.00000E+00	1.09856E-05	1.10000E+02	8.92845E+04	1.98544E+01	-4.28136E+04	1.96062E+01	7.43478E+01	-2.00356E-09
0.00000E+00	1.06953E-05	1.11000E+02	9.14167E+04	2.25733E+01	-4.45216E+04	1.61099E+01	7.14956E+01	-2.15471E-09
0.00000E+00	1.09358E-05	1.12000E+02	9.31299E+04	1.99730E+01	-4.59544E+04	2.50143E+01	6.92665E+01	-2.14332E-09
0.00000E+00	1.05542E-05	1.13000E+02	9.18364E+04	1.97847E+01	-4.44492E+04	2.57690E+01	7.16120E+01	-2.11591E-09
0.00000E+00	9.92381E-06	1.14000E+02	9.31697E+04	2.13160E+01	-4.54702E+04	1.62535E+01	7.00041E+01	-2.10295E-09
0.00000E+00	9.78278E-06	1.15000E+02	9.11993E+04	2.04617E+01	-4.43675E+04	2.30257E+01	7.17439E+01	-2.08952E-09
0.00000E+00	1.03884E-05	1.16000E+02	9.01143E+04	1.44926E+01	-4.36956E+04	9.39851E+00	7.28471E+01	-2.07128E-09
0.00000E+00	1.01644E-05	1.17000E+02	9.05933E+04	1.39253E+01	-4.39063E+04	1.17463E+01	7.24975E+01	-2.44553E-09
