#Measurement:		CV
#Sensor type:		HPK_6in_256
#Invert polarity:		0
#Needle measurement:	0
#Identifier:		open_correction_small_steps
#Timestamp:		2.8.2017 21:17 
#Voltage delay:		20.0 s
#Switch delay:		0.3 s
#Compliance level:		0.00 uA
#Voltage limit:		1000.0 V
#LCR freq.:		50000 Hz
#LCR voltg.:		0.50 V
#Repeat:			1
#Sampling number:		3
#Source as DMM:		0
#Custom channels:		
#VISA source:		Source_2410
#VISA DMM:		KEITHLEY_6487
#VISA LCR:		LCR_E4980
#HexPlot cmd:		HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\hex_positions_HPK_256ch_6inch_testcap.txt"
#HexPlot on matrix cmd:	HexPlot.exe -i "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.txt" -o  "C:\Users\Administrator\cernbox\HGCAL test results\Data\HPK_6in_256_open_correction_small_steps\HPK_6in_256_open_correction_small_steps_CV.pdf" -CV  -p HEX -ys 1  -select -250  -if SELECTOR:PADNUM:VAL -pn 0  -g "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\geo\switch_matrix.txt" -m "C:\Users\Administrator\Desktop\HGCAL_sensor_tests\maps\Probe_card_HPK_6in_256ch.txt" 
#Comments:		

#Voltage	#Channel	#Cp        	#Error      	#Tot. curr.	#Act. vlt.	#Time   	#Temp	#Hum.	#Cs        	#Error     	#Impedance 	#Error      	#Phase      	#Error     	#Cp uncorr.	#Cs uncorr.
#[V]    	#       	#[pF]      	#[pF]       	#[nA]      	#[V]      	#[s]    	#[C] 	#[%] 	#[pF]      	#[pF]      	#[Ohm]     	#[Ohm]      	#[Rad]      	#[Rad]     	#[pF]      	#[pF]      
0.0     	51      	4.314802E+1	3.192691E-7 	2.29E-1    	0.00      	85.56   	22.8 	46.5 	5.545865E+1	4.368258E-4	6.507063E+4	5.773503E-1 	-1.080207E+0	1.154701E-5	4.314802E+1	5.545865E+1
0.0     	52      	4.611380E+1	4.461893E-7 	2.29E-1    	0.00      	87.82   	22.8 	46.5 	6.029185E+1	1.702810E-3	6.036780E+4	8.888194E-1 	-1.064513E+0	3.055050E-5	4.611380E+1	6.029185E+1
0.0     	53      	4.423707E+1	4.533229E-7 	2.29E-1    	0.00      	88.72   	22.8 	46.5 	5.733099E+1	8.395269E-4	6.320657E+4	2.516611E-1 	-1.072530E+0	2.645751E-5	4.423707E+1	5.733099E+1
0.0     	54      	4.575216E+1	8.504581E-8 	2.29E-1    	0.00      	89.63   	22.8 	46.5 	5.990879E+1	4.095246E-4	6.079937E+4	3.511885E-1 	-1.063163E+0	5.773503E-6	4.575216E+1	5.990879E+1
0.0     	55      	4.266714E+1	9.580824E-8 	2.29E-1    	0.00      	90.53   	22.8 	46.5 	5.497390E+1	5.077647E-4	6.572417E+4	4.163332E-1 	-1.077940E+0	1.000000E-5	4.266714E+1	5.497390E+1
0.0     	56      	4.362096E+1	3.156827E-7 	2.29E-1    	0.00      	91.44   	22.8 	46.5 	5.648153E+1	1.157402E-3	6.412823E+4	1.040833E+0 	-1.073360E+0	1.000000E-5	4.362096E+1	5.648153E+1
0.0     	57      	4.499442E+1	5.527048E-7 	2.29E-1    	0.00      	92.34   	22.8 	46.5 	5.870605E+1	6.549174E-4	6.193403E+4	8.504901E-1 	-1.066393E+0	5.773503E-6	4.499442E+1	5.870605E+1
0.0     	58      	4.278252E+1	1.440299E-6 	2.29E-1    	0.00      	93.25   	22.8 	46.5 	5.526166E+1	1.069266E-3	6.546437E+4	1.537314E+0 	-1.075600E+0	1.000000E-5	4.278252E+1	5.526166E+1
0.0     	59      	4.390538E+1	3.101430E-7 	2.29E-1    	0.00      	94.17   	22.8 	46.5 	5.682800E+1	1.102773E-3	6.372503E+4	7.571878E-1 	-1.073713E+0	2.081666E-5	4.390538E+1	5.682800E+1
0.0     	60      	4.269750E+1	6.867021E-7 	2.29E-1    	0.00      	95.06   	22.8 	46.5 	5.502346E+1	6.684627E-4	6.567120E+4	9.165151E-1 	-1.077763E+0	1.527525E-5	4.269750E+1	5.502346E+1
0.0     	61      	4.804216E+1	1.064563E-6 	2.97E-1    	0.00      	95.96   	22.8 	46.5 	6.360065E+1	1.854186E-3	5.758483E+4	1.386843E+0 	-1.053423E+0	1.527525E-5	4.804216E+1	6.360065E+1
0.0     	62      	4.476052E+1	1.459475E-6 	2.97E-1    	0.00      	98.23   	22.8 	46.5 	5.805994E+1	1.449995E-3	6.244020E+4	1.587451E+0 	-1.071730E+0	1.000000E-5	4.476052E+1	5.805994E+1
0.0     	63      	4.472825E+1	3.332675E-7 	2.97E-1    	0.00      	99.12   	22.8 	46.5 	5.820967E+1	8.736334E-4	6.238233E+4	8.504901E-1 	-1.068717E+0	5.773503E-6	4.472825E+1	5.820967E+1
0.0     	64      	4.665516E+1	8.290286E-7 	2.97E-1    	0.00      	100.03  	22.8 	46.5 	6.106199E+1	1.046818E-3	5.963687E+4	1.078579E+0 	-1.063593E+0	5.773503E-6	4.665516E+1	6.106199E+1
0.0     	65      	4.406362E+1	5.770332E-7 	2.97E-1    	0.00      	100.92  	22.8 	46.5 	5.703632E+1	8.073057E-4	6.349423E+4	9.814955E-1 	-1.073657E+0	5.773503E-6	4.406362E+1	5.703632E+1
0.0     	66      	4.357851E+1	1.250306E-7 	2.97E-1    	0.00      	101.83  	22.8 	46.5 	5.632270E+1	6.898252E-4	6.424987E+4	2.886751E-1 	-1.075060E+0	1.732051E-5	4.357851E+1	5.632270E+1
0.0     	67      	4.458284E+1	7.601606E-7 	2.97E-1    	0.00      	102.73  	22.8 	46.5 	5.800961E+1	8.806749E-4	6.259163E+4	1.021437E+0 	-1.068887E+0	1.154701E-5	4.458284E+1	5.800961E+1
