#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


92	-1.09	-0.82	12	SIZE:0.45,X_STRETCH:6.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
93	-1.10	-0.61	12	SIZE:0.45,X_STRETCH:6.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
94	-1.12	-0.41	12	SIZE:0.45,X_STRETCH:6.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
95	-1.13	-0.20	12	SIZE:0.45,X_STRETCH:6.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
96	-1.15	+0.01	12	SIZE:0.45,X_STRETCH:7.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
97	-1.16	+0.21	12	SIZE:0.45,X_STRETCH:7.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
98	-1.18	+0.42	12	SIZE:0.45,X_STRETCH:7.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
99	-1.19	+0.62	12	SIZE:0.45,X_STRETCH:7.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
100	-1.21	+0.83	12	SIZE:0.45,X_STRETCH:7.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
101	-1.22	+1.03	12	SIZE:0.45,X_STRETCH:7.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
102	-1.24	+1.24	12	SIZE:0.45,X_STRETCH:7.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
103	-1.25	+1.44	12	SIZE:0.45,X_STRETCH:7.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
104	-1.26	+1.65	12	SIZE:0.45,X_STRETCH:7.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
105	-1.28	+1.85	12	SIZE:0.45,X_STRETCH:7.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
106	-1.29	+2.06	12	SIZE:0.45,X_STRETCH:7.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
107	-1.31	+2.27	12	SIZE:0.45,X_STRETCH:8.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
108	-1.32	+2.47	12	SIZE:0.45,X_STRETCH:8.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
109	-1.34	+2.68	12	SIZE:0.45,X_STRETCH:8.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
110	-1.35	+2.88	12	SIZE:0.45,X_STRETCH:8.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
111	-1.37	+3.09	12	SIZE:0.45,X_STRETCH:8.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
112	-1.38	+3.29	12	SIZE:0.45,X_STRETCH:8.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
113	-1.40	+3.50	12	SIZE:0.45,X_STRETCH:8.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
114	-1.41	+3.70	12	SIZE:0.45,X_STRETCH:8.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
115	-1.43	+3.91	12	SIZE:0.45,X_STRETCH:8.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
116	-1.44	+4.12	12	SIZE:0.45,X_STRETCH:8.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
117	-1.46	+4.32	12	SIZE:0.45,X_STRETCH:8.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
118	-1.47	+4.53	12	SIZE:0.45,X_STRETCH:9.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
