#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


234	-1.1571428571428568	-2.6	0.4	12	45
235	-0.5571428571428567	-2.6	0.4	12	45
236	-1.1571428571428568	-3.0	0.4	12	45
237	-0.5571428571428567	-3.0	0.4	12	45
238	-1.1571428571428568	-3.4000000000000004	0.4	12	45
239	-0.5571428571428567	-3.4000000000000004	0.4	12	45
240	-1.1571428571428568	-4.2	0.4	12	45
241	-0.5571428571428567	-4.2	0.4	12	45
242	-1.1571428571428568	-4.6000000000000005	0.4	12	45
243	-0.5571428571428567	-4.6000000000000005	0.4	12	45
244	-1.1571428571428568	-5.0	0.4	12	45
245	-0.5571428571428567	-5.0	0.4	12	45
246	-1.1571428571428568	-5.4	0.4	12	45
247	-0.5571428571428567	-5.4	0.4	12	45
248	-1.1571428571428568	-6.2	0.4	12	45
249	-0.5571428571428567	-6.2	0.4	12	45
250	-1.1571428571428568	-6.6000000000000005	0.4	12	45
251	-0.5571428571428567	-6.6000000000000005	0.4	12	45
252	-1.1571428571428568	-7.0	0.4	12	45
253	-0.5571428571428567	-7.0	0.4	12	45
254	-1.1571428571428568	-7.4	0.4	12	45
255	-0.5571428571428567	-7.4	0.4	12	45
256	0.5571428571428567	7.8	0.4	12	45
257	1.1571428571428568	7.8	0.4	12	45
258	0.5571428571428567	7.3999999999999995	0.4	12	45
259	1.1571428571428568	7.3999999999999995	0.4	12	45
260	0.5571428571428567	7.0	0.4	12	45
261	1.1571428571428568	7.0	0.4	12	45
262	0.5571428571428567	6.6	0.4	12	45
263	1.1571428571428568	6.6	0.4	12	45
264	0.5571428571428567	5.8	0.4	12	45
265	1.1571428571428568	5.8	0.4	12	45
266	0.5571428571428567	5.3999999999999995	0.4	12	45
267	1.1571428571428568	5.3999999999999995	0.4	12	45
268	0.5571428571428567	5.0	0.4	12	45
269	1.1571428571428568	5.0	0.4	12	45
270	0.5571428571428567	4.6	0.4	12	45
271	1.1571428571428568	4.6	0.4	12	45
272	0.5571428571428567	3.8	0.4	12	45
273	1.1571428571428568	3.8	0.4	12	45
274	0.5571428571428567	3.4	0.4	12	45
275	1.1571428571428568	3.4	0.4	12	45
276	0.5571428571428567	3.0	0.4	12	45
277	1.1571428571428568	3.0	0.4	12	45
278	0.5571428571428567	2.5999999999999996	0.4	12	45
279	1.1571428571428568	2.5999999999999996	0.4	12	45
280	0.5571428571428567	1.8	0.4	12	45
281	1.1571428571428568	1.8	0.4	12	45
282	0.5571428571428567	1.4	0.4	12	45
283	1.1571428571428568	1.4	0.4	12	45
284	0.5571428571428567	1.0	0.4	12	45
285	1.1571428571428568	1.0	0.4	12	45
286	0.5571428571428567	0.5999999999999999	0.4	12	45
287	1.1571428571428568	0.5999999999999999	0.4	12	45
288	0.5571428571428567	-0.19999999999999996	0.4	12	45
289	1.1571428571428568	-0.19999999999999996	0.4	12	45
290	0.5571428571428567	-0.6	0.4	12	45
291	1.1571428571428568	-0.6	0.4	12	45
292	0.5571428571428567	-1.0	0.4	12	45
293	1.1571428571428568	-1.0	0.4	12	45
294	0.5571428571428567	-1.4000000000000001	0.4	12	45
295	1.1571428571428568	-1.4000000000000001	0.4	12	45
296	0.5571428571428567	-2.2	0.4	12	45
297	1.1571428571428568	-2.2	0.4	12	45
298	0.5571428571428567	-2.6	0.4	12	45
299	1.1571428571428568	-2.6	0.4	12	45
300	0.5571428571428567	-3.0	0.4	12	45
301	1.1571428571428568	-3.0	0.4	12	45
302	0.5571428571428567	-3.4000000000000004	0.4	12	45
303	1.1571428571428568	-3.4000000000000004	0.4	12	45
304	0.5571428571428567	-4.2	0.4	12	45
305	1.1571428571428568	-4.2	0.4	12	45
306	0.5571428571428567	-4.6000000000000005	0.4	12	45
307	1.1571428571428568	-4.6000000000000005	0.4	12	45
308	0.5571428571428567	-5.0	0.4	12	45
309	1.1571428571428568	-5.0	0.4	12	45
310	0.5571428571428567	-5.4	0.4	12	45
311	1.1571428571428568	-5.4	0.4	12	45
312	0.5571428571428567	-6.2	0.4	12	45
313	1.1571428571428568	-6.2	0.4	12	45
314	0.5571428571428567	-6.6000000000000005	0.4	12	45
315	1.1571428571428568	-6.6000000000000005	0.4	12	45
316	0.5571428571428567	-7.0	0.4	12	45
317	1.1571428571428568	-7.0	0.4	12	45
318	0.5571428571428567	-7.4	0.4	12	45
319	1.1571428571428568	-7.4	0.4	12	45
320	2.2714285714285714	7.8	0.4	12	45
321	2.871428571428571	7.8	0.4	12	45
322	2.2714285714285714	7.3999999999999995	0.4	12	45
323	2.871428571428571	7.3999999999999995	0.4	12	45
324	2.2714285714285714	7.0	0.4	12	45
325	2.871428571428571	7.0	0.4	12	45
326	2.2714285714285714	6.6	0.4	12	45
327	2.871428571428571	6.6	0.4	12	45
328	2.2714285714285714	5.8	0.4	12	45
329	2.871428571428571	5.8	0.4	12	45
330	2.2714285714285714	5.3999999999999995	0.4	12	45
331	2.871428571428571	5.3999999999999995	0.4	12	45
332	2.2714285714285714	5.0	0.4	12	45
333	2.871428571428571	5.0	0.4	12	45
334	2.2714285714285714	4.6	0.4	12	45
335	2.871428571428571	4.6	0.4	12	45
336	2.2714285714285714	3.8	0.4	12	45
337	2.871428571428571	3.8	0.4	12	45
338	2.2714285714285714	3.4	0.4	12	45
339	2.871428571428571	3.4	0.4	12	45
340	2.2714285714285714	3.0	0.4	12	45
341	2.871428571428571	3.0	0.4	12	45
342	2.2714285714285714	2.5999999999999996	0.4	12	45
343	2.871428571428571	2.5999999999999996	0.4	12	45
344	2.2714285714285714	1.8	0.4	12	45
345	2.871428571428571	1.8	0.4	12	45
346	2.2714285714285714	1.4	0.4	12	45
347	2.871428571428571	1.4	0.4	12	45
348	2.2714285714285714	1.0	0.4	12	45
349	2.871428571428571	1.0	0.4	12	45
350	2.2714285714285714	0.5999999999999999	0.4	12	45
351	2.871428571428571	0.5999999999999999	0.4	12	45
352	2.2714285714285714	-0.19999999999999996	0.4	12	45
353	2.871428571428571	-0.19999999999999996	0.4	12	45
354	2.2714285714285714	-0.6	0.4	12	45
355	2.871428571428571	-0.6	0.4	12	45
356	2.2714285714285714	-1.0	0.4	12	45
357	2.871428571428571	-1.0	0.4	12	45
358	2.2714285714285714	-1.4000000000000001	0.4	12	45
359	2.871428571428571	-1.4000000000000001	0.4	12	45
360	2.2714285714285714	-2.2	0.4	12	45
361	2.871428571428571	-2.2	0.4	12	45
362	2.2714285714285714	-2.6	0.4	12	45
363	2.871428571428571	-2.6	0.4	12	45
364	2.2714285714285714	-3.0	0.4	12	45
365	2.871428571428571	-3.0	0.4	12	45
366	2.2714285714285714	-3.4000000000000004	0.4	12	45
